name,address,city,state,postal_code,phone,email,website,description,latitude,longitude
"Nido (Privato) e Casa dei bambini ""Fondazione Pirani Cremona"" (Paritaria)",Via Gobbi 8,Bassano del Grappa,Vicenza,36161,0424522415,segreteria@fondazionepiranicremona.it,https://www.fondazionepiranicremona.org,,45.7593111,11.7352132
"Scuola primaria ""Ai Caduti"" (Statale)",Via Spalto Don Minzoni 2,Rovato,Brescia,25038,030/7721457,BSIC843007@istruzione.it,https://www.icdonmilani-rovato.it,"Dipende da I.C. &quot;Don L. Milani&quot; Via Solferino, 45 - 25038 Rovato (BS)",45.5672612,9.996825699999999
Scuola primaria Plesso di Monterotondo (Statale),Via L. Cadorna 46,Monterotondo fraz. di Passirano,Brescia,25050 ,030 653129,segreteria@icpassirano.edu.it,https://icpassirano.edu.it/,Dipende da IC di Passirano,45.60764959999999,10.0415255
"""Datemi Tempo"" (Privato) - Servizio socio educativo di Agri Tata",Fraz. Letey 5,Gressan,Aosta,11020,3311802065,ideainmovimento@gmail.com,https://www.montessorinvalle.it,"Per bambini da 3 mesi a 3 anni.<br>Servizio accreditato con la Regione Autonoma Valle d’Aosta",45.7214451,7.289893899999999
Api Operose Spazio gioco (Privato),Via Augusto Vera 32,Roma,RM,00142,3276756968,nidoleapioperose@gmail.com,https://www.leapioperose.com,,41.8448492,12.487537
Asilo infantile del centro - Fondazione scuole dell'infanzia paritarie Enti Morali,Via Staffoli 5,Gussago,Brescia,25064,0302773761,segreteriafondazione.emg@gmail.com,https://www.asiligussago.it,,45.5843944,10.1493362
"Asilo nido ""La Magnolia"" (Privata)",Via Daniele Ricciarelli 8,Milano,Milano,20148,0248750145,info@nidomagnolia.it,https://www.nidomagnolia.it/wp-magnolia/,,45.4727707,9.1430194
"Asilo Nido ""Terraluna"" (Privata)",Via Cascina Vega 4,Usmate Velate,Monza e Brianza,20865,393 870 5031,,,,45.6501261,9.3429671
"Asilo Nido ""Terraluna"" (Privata)",Via De Marchi 18,Monza,Monza e Brianza,20900,377 027 2818,,,,45.5931921,9.2934877
"Asilo nido Arcobaleno ""Renilde Stoppani Montessori"" (Comunale)",Via Alfieri 24,Monte San Vito,Ancona,60037,071948973,,,,43.5947821,13.2966805
